Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
AScript,Success,12,1,2019-01-04 17:11:47 -0700,2019-01-07 12:06:55 -0700,0:00:01
Untitled-API,Success,1,0,2018-11-01 15:35:28 -0600,2018-11-01 15:35:28 -0600,0:00:00
