Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-12-14 12:00:58.961 -0700,"Success",0:00:00,0,0,0,"20211214_120058.961/LogFile.txt","","",1
2021-12-14 12:08:38.601 -0700,"Success",0:00:00,0,0,0,"20211214_120838.601/LogFile.txt","","",1
2021-12-14 12:08:53.650 -0700,"Success",0:00:00,0,0,0,"20211214_120853.650/LogFile.txt","","",1
2021-12-14 12:09:03.338 -0700,"Aborted",0:00:09,1,0,0,"20211214_120903.338/LogFile.txt","","",0
2021-12-14 12:09:20.035 -0700,"Success",0:00:00,0,0,0,"20211214_120920.035/LogFile.txt","","",1
2021-12-14 12:09:24.019 -0700,"Aborted",0:00:26,1,0,0,"20211214_120924.019/LogFile.txt","","",0
2021-12-14 12:09:57.496 -0700,"Success",0:00:04,0,0,0,"20211214_120957.496/LogFile.txt","","",1
2021-12-14 12:10:19.405 -0700,"Success",0:00:00,0,0,0,"20211214_121019.405/LogFile.txt","","",1
2021-12-14 12:12:05.391 -0700,"Success",0:00:00,0,0,0,"20211214_121205.391/LogFile.txt","","",1
2021-12-14 12:13:29.927 -0700,"Success",0:00:00,0,0,0,"20211214_121329.927/LogFile.txt","","",1
2021-12-14 12:20:17.104 -0700,"Success",0:00:00,0,0,0,"20211214_122017.104/LogFile.txt","","",1
