Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-12-15 16:24:12.488 -0700,"Success",0:00:00,0,0,0,"20211215_162412.488/LogFile.txt","","",1
2021-12-15 16:25:45.296 -0700,"Aborted",0:02:04,1,0,0,"20211215_162545.296/LogFile.txt","","",0
2021-12-15 16:27:52.635 -0700,"Success",0:00:00,0,0,0,"20211215_162752.635/LogFile.txt","","",1
2021-12-15 16:55:04.738 -0700,"Aborted",0:01:08,1,0,0,"20211215_165504.738/LogFile.txt","","",0
2021-12-15 16:56:15.000 -0700,"Aborted",0:05:31,1,0,0,"20211215_165615.000/LogFile.txt","","",0
2021-12-15 17:01:47.742 -0700,"Aborted",0:01:41,1,0,0,"20211215_170147.742/LogFile.txt","","",0
2021-12-15 17:03:55.054 -0700,"Aborted",0:02:07,1,0,0,"20211215_170355.054/LogFile.txt","","",0
2021-12-15 17:07:18.640 -0700,"Aborted",0:03:04,1,0,0,"20211215_170718.640/LogFile.txt","","",0
2021-12-16 17:11:21.486 -0700,"Failure",0:00:00,1,0,0,"20211216_171121.486/LogFile.txt","","STFileException -- Failed to read file /Users/weverett/Documents/advent2021/advent5.txt",0
2021-12-16 17:15:28.800 -0700,"Success",0:00:12,0,0,0,"20211216_171528.800/LogFile.txt","","",1
2021-12-16 17:24:53.383 -0700,"Success",0:00:03,0,0,0,"20211216_172453.383/LogFile.txt","","",1
2021-12-16 17:26:46.559 -0700,"Aborted",0:02:50,1,0,0,"20211216_172646.559/LogFile.txt","","",0
2021-12-16 17:30:30.281 -0700,"Success",0:00:19,0,0,0,"20211216_173030.281/LogFile.txt","","",1
2021-12-16 17:40:15.586 -0700,"Failure",0:00:01,1,0,0,"20211216_174015.586/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '-' and '240'",0
2021-12-16 17:40:46.767 -0700,"Success",0:00:06,0,0,0,"20211216_174046.767/LogFile.txt","","",1
2021-12-16 17:41:17.670 -0700,"Success",0:00:17,0,0,0,"20211216_174117.670/LogFile.txt","","",1
2021-12-16 17:44:43.075 -0700,"Success",0:00:00,0,0,0,"20211216_174443.075/LogFile.txt","","",1
2021-12-16 17:48:08.978 -0700,"Success",0:01:01,0,0,0,"20211216_174808.978/LogFile.txt","","",1
2021-12-16 17:49:27.985 -0700,"Aborted",0:01:41,1,0,0,"20211216_174927.985/LogFile.txt","","",0
2021-12-16 17:51:49.927 -0700,"Success",0:00:08,0,0,0,"20211216_175149.927/LogFile.txt","","",1
2021-12-16 17:52:57.736 -0700,"Aborted",0:00:54,1,0,0,"20211216_175257.736/LogFile.txt","","",0
2021-12-16 17:54:05.438 -0700,"Success",0:00:03,0,0,0,"20211216_175405.438/LogFile.txt","","",1
2021-12-16 17:54:34.151 -0700,"Success",0:00:28,0,0,0,"20211216_175434.151/LogFile.txt","","",1
2021-12-16 17:56:10.455 -0700,"Success",0:02:22,0,0,0,"20211216_175610.455/LogFile.txt","","",1
2021-12-16 17:58:40.909 -0700,"Aborted",0:03:42,1,0,0,"20211216_175840.909/LogFile.txt","","",0
2021-12-16 18:02:55.824 -0700,"Success",0:00:04,0,0,0,"20211216_180255.824/LogFile.txt","","",1
2021-12-16 18:03:19.183 -0700,"Success",0:00:18,0,0,0,"20211216_180319.183/LogFile.txt","","",1
2021-12-17 15:28:29.165 -0700,"Aborted",0:00:45,1,0,0,"20211217_152829.165/LogFile.txt","","",0
2021-12-17 15:56:18.925 -0700,"Success",0:00:02,0,0,0,"20211217_155618.925/LogFile.txt","","",1
2021-12-17 15:56:35.962 -0700,"Success",0:04:46,0,0,0,"20211217_155635.962/LogFile.txt","","",1
2021-12-17 16:01:23.790 -0700,"Aborted",0:02:55,1,0,0,"20211217_160123.790/LogFile.txt","","",0
2021-12-17 16:04:38.418 -0700,"Aborted",0:02:59,1,0,0,"20211217_160438.418/LogFile.txt","","",0
2022-03-02 16:18:33.171 -0700,"Success",0:00:10,0,0,0,"20220302_161833.171/LogFile.txt","","",1
2022-03-02 16:18:55.005 -0700,"Success",0:00:00,0,0,0,"20220302_161855.005/LogFile.txt","","",1
2022-03-02 16:19:34.932 -0700,"Success",0:00:00,0,0,0,"20220302_161934.932/LogFile.txt","","",1
